MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
7,20,0,4.60624,1
7,10,0,109.273,1
7,10,0,104.309,1
7,39,0,2.9898,1
7,11,0,282.421,1
7,10,0,24.4184,1
7,23,0,149.823,1
7,28,0,54.8451,1
7,23,0,107.414,1
7,21,0,11.526,1
7,10,0,59.5595,1
7,10,0,135.763,1
7,70,0,29.4995,1
7,12,0,61.3951,1
7,70,0,8.57789,1
7,33,0,132.457,1
7,15,0,2.29154,1
7,33,0,7.4717,1
7,33,0,102.482,1
7,100,1,-129.608,1
7,20,1,-6.13698,1
7,25,0,56.9373,1
7,27,1,-0.379435,1
7.1,30,0,66.0695,1
7.1,40,0,44.3231,1
7.1,20,0,76.2205,1
7.1,20,0,62.9055,1
7.1,20,0,78.3042,1
7.1,33,0,3.51312,1
7.1,40,1,-0.449743,1
7.1,30,0,41.4496,1
7.1,48,0,106.892,1
7.1,30,0,44.5989,1
7.1,9,0,23.9787,1
7.1,10,0,110.327,1
7.1,50,0,24.7629,1
7.1,40,0,4.07672,1
7.1,63,1,-39.2393,1
7.1,11,0,52.4348,1
7.1,32,0,3.39073,1
7.1,11,1,-27.832,1
7.1,28,0,43.2393,1
7.1,21,0,16.6727,1
7.1,33,0,41.0755,1
7.1,10,0,150.952,1
7.1,34,0,58.6142,1
7.1,25,0,7.03741,1
7.1,42,1,-0.552795,1
7.1,32,0,66.0077,1
7.1,26,0,299.414,1
7.1,16,0,559.068,1
7.1,19,0,53.9042,1
7.1,33,1,-0.627135,1
7.1,31,0,39.5487,1
7.1,35,0,67.8311,1
7.2,33,0,63.3962,1
7.2,20,1,-27.9952,1
7.2,10,0,145.091,1
7.2,40,0,40.6408,1
7.2,25,0,104.426,1
7.2,23,0,70.9153,1
7.2,15,0,10.0147,1
7.2,44,0,90.099,1
7.2,7,0,150.416,1
7.2,27,0,19.2087,1
7.2,65,0,65.7611,1
7.2,10,0,24.7993,1
7.2,37,0,89.8203,1
7.2,44,0,92.3072,1
7.2,10,0,155.76,1
7.2,37,1,-13.4209,1
7.2,23,0,31.0205,1
7.2,15,1,-5.6941,1
7.2,21,0,2.02052,1
7.2,21,0,29.5831,1
7.2,14,0,84.1265,1
7.2,10,0,153.085,1
7.2,36,0,38.082,1
7.2,35,0,81.0575,1
7.2,22,0,28.2134,1
7.2,25,0,14.5955,1
7.2,31,0,211.049,1
7.2,24,1,-36.2158,1
7.2,10,0,107.798,1
7.2,10,1,-828.885,1
7.2,90,0,66.4495,1
7.2,22,0,5.19598,1
7.2,50,0,11.2798,1
7.2,35,0,39.5018,1
7.2,33,1,-56.0198,1
7.2,10,0,5.1219,1
7.3,70,0,46.5157,1
7.3,40,0,93.3237,1
7.3,10,0,13.3221,1
7.3,60,1,-57.6989,1
7.3,20,0,59.2368,1
7.3,21,0,12.0634,1
7.3,33,0,45.2638,1
7.3,47,0,27.2385,1
7.3,40,0,14.238,1
7.3,36,1,-2.07861,1
7.3,51,0,64.0848,1
7.3,28,1,-16.5441,1
7.3,16,0,194.282,1
7.3,33,0,22.6824,1
7.3,33,0,79.0957,1
7.3,24,0,15.7338,1
7.3,33,0,56.0186,1
7.3,35,0,65.7487,1
7.3,30,0,21.1988,1
7.3,10,0,31.9769,1
7.3,16,0,131.428,1
7.3,52,0,44.1631,1
7.3,28,0,113.217,1
7.3,24,0,26.0919,1
7.3,40,0,63.5109,1
7.3,33,0,40.4102,1
7.3,33,0,34.0567,1
7.3,45,0,65.1339,1
7.3,40,0,7.50871,1
7.3,23,1,-3.05826,1
7.4,33,0,2.36722,1
7.4,33,0,34.0153,1
7.4,33,0,54.1975,1
7.4,15,0,2.81448,1
7.4,10,0,53.9505,1
7.4,60,0,177.016,1
7.4,30,0,17.3795,1
7.4,56,0,92.6807,1
7.4,66,0,81.9223,1
7.4,55,0,8.31393,1
7.4,48,0,8.38396,1
7.4,21,0,75.1655,1
7.4,10,0,111.666,1
7.4,10,0,197.642,1
7.4,156,0,10.2439,1
7.4,36,0,184.939,1
7.4,14,0,146.239,1
7.4,33,0,163.045,1
7.4,20,1,-29.0528,1
7.4,35,0,68.351,1
7.4,17,0,23.8437,1
7.4,29,0,63.0836,1
7.4,23,1,-32.656,1
7.5,80,0,18.73,1
7.5,33,0,18.1049,1
7.5,33,0,44.0711,1
7.5,80,0,127.364,1
7.5,35,1,-110.398,1
7.5,0,0,68.7864,1
7.5,10,0,119.454,1
7.5,15,0,19.1088,1
7.5,60,0,60.7947,1
7.5,65,1,-2.02211,1
7.5,50,1,-29.0528,1
