MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
6.2,33,1,-925.87,0
6.4,33,1,-911.476,0
5.7,34,1,-751.795,0
5.8,34,1,-706.508,0
6.5,34,1,-708.792,0
6.5,35,1,-798.742,0
5.5,35,1,-849.236,0
5.8,36,1,-873.568,0
6.5,36,1,-831.559,0
6.7,36,1,-818.649,0
5.8,37,1,-1046.27,0
6.7,37,1,-310.533,0
6.4,37,1,-327.755,0
5.6,37,1,-215.527,0
5.8,39,1,-709.679,0
5.7,41,1,-734.489,0
6.7,42,1,-753.801,0
5.6,43,1,-175.026,0
5.8,49,1,-715.263,0
5.7,49,1,-209.227,0
6.8,49,1,-497.822,0
6.2,50,1,-735.335,0
5.6,50,1,-1580.56,0
6,52,1,-294.156,0
5.9,54,1,-239.469,0
7.1,56,1,-209.007,0
6,56,1,-784.978,0
5.6,60,1,-1477.61,0
5.5,65,1,-250.701,0
5.5,67,1,-228.38,0
5.5,67,1,-1054.58,0
5.6,67,1,-318.716,0
7.7,73,1,-303.77,0
7.1,75,1,-194.114,0
5.7,76,1,-1540.66,0
6.3,78,1,-1123.25,0
5.5,82,1,-402.353,0
5.5,87,1,-740.926,0
5.7,87,1,-457.076,0
5.8,90,1,-1377.62,0
5.7,90,1,-202.984,0
5.7,92,1,-1293.11,0
5.5,92,1,-216.842,0
5.6,94,1,-193.517,0
6.4,99,1,-699.182,0
5.6,99,1,-184.449,0
6,100,1,-237.129,0
4.5,101,0,0,0
4.8,102,0,0,0
5.7,102,1,-251.719,0
5.5,103,1,-1194.78,0
4.5,104,0,0,0
5,104,0,0,0
5.8,105,1,-219.072,0
4.7,107,0,0,0
4.8,108,0,0,0
4,108,0,0,0
4.6,109,0,0,0
4.5,109,0,0,0
4.8,109,0,0,0
5.5,109,1,-223.293,0
4.8,110,0,0,0
5.7,111,1,-236.321,0
5.8,111,1,-206.987,0
4,112,0,0,0
4.8,113,0,0,0
4.7,113,0,0,0
4,113,0,0,0
4.7,113,0,0,0
5.8,113,1,-223.369,0
4.6,116,0,0,0
4.9,116,0,0,0
4.8,117,0,0,0
4.8,117,0,0,0
5.9,118,1,-373.808,0
4.5,120,0,0,0
4.7,120,0,0,0
4.8,120,0,0,0
4.8,120,0,0,0
4.7,123,0,0,0
5.6,124,1,-227.65,0
6.1,128,1,-187.411,0
4.5,130,0,0,0
5,131,0,0,0
4.9,132,0,0,0
4.8,133,0,0,0
6.9,136,1,-318.683,0
4.8,137,0,0,0
4.6,138,0,0,0
4.1,139,0,0,0
5,140,0,0,0
4.5,142,0,0,0
4.8,144,0,0,0
5,144,0,0,0
4.7,144,0,0,0
4.1,145,0,0,0
4.8,146,0,0,0
4.5,146,0,0,0
4.5,151,0,0,0
4.5,152,0,0,0
5.5,155,1,-636.145,0
6.3,156,1,-778.518,0
4.5,158,0,0,0
4.4,159,0,0,0
4.3,160,0,0,0
4.6,161,0,0,0
4.7,163,0,0,0
4.7,164,0,0,0
4.7,165,0,0,0
4.4,166,0,0,0
4.7,166,0,0,0
4.4,168,0,0,0
4.7,168,0,0,0
4.8,168,0,0,0
5,169,0,0,0
4.8,170,0,0,0
4.7,171,0,0,0
4.7,175,0,0,0
4.3,180,0,0,0
4.7,181,0,0,0
4,181,0,0,0
5,188,0,0,0
4.4,194,0,0,0
5,194,0,0,0
4.6,197,0,0,0
4.6,200,0,0,0
5.6,200,1,-1266.37,0
4.5,201,0,0,0
4.3,202,0,0,0
6.3,204,1,-1283.37,0
4.3,206,0,0,0
5,208,0,0,0
4.4,208,0,0,0
6.6,210,1,-1284.7,0
7.5,210,1,-1263.45,0
4.3,216,0,0,0
4.6,218,0,0,0
4.2,219,0,0,0
4.3,219,0,0,0
4.4,219,0,0,0
4.8,220,0,0,0
5.9,225,1,-1286.05,0
4.5,232,0,0,0
4.8,232,0,0,0
5,238,0,0,0
5.7,241,1,-1287.69,0
4.8,253,0,0,0
4.4,263,0,0,0
3.7,266,0,0,0
4.7,277,0,0,0
5.6,279,1,-160.468,0
5,315,0,0,0
4.8,331,0,0,0
4.8,333,0,0,0
4.2,342,0,0,0
4.6,361,0,0,0
4.1,373,0,0,0
4.8,417,0,0,0
4.2,433,0,0,0
4.6,468,0,0,0
4.6,496,0,0,0
4.9,497,0,0,0
4.5,500,0,0,0
4.7,508,0,0,0
4.5,511,0,0,0
5,513,0,0,0
4.4,527,0,0,0
4,527,0,0,0
4.4,529,0,0,0
4.6,530,0,0,0
4.2,530,0,0,0
4.2,536,0,0,0
4.6,537,0,0,0
4.7,541,0,0,0
4.2,543,0,0,0
4.7,547,0,0,0
4.5,555,0,0,0
4.6,556,0,0,0
4.7,558,0,0,0
4.7,570,0,0,0
6.1,571,1,-280.085,0
5.8,574,1,-213.198,0
4.7,578,0,0,0
4.8,586,0,0,0
4.6,593,0,0,0
4.4,595,0,0,0
4.2,603,0,0,0
4.8,610,0,0,0
4.8,611,0,0,0
4.5,611,0,0,0
4.3,615,0,0,0
4.7,622,0,0,0
4.9,633,0,0,0
4.5,657,0,0,0
