MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
7.3,500,0,0,1
7.4,33,0,0,1
7.5,130,0,0,1
6.8,33,0,0,1
8.2,33,0,0,1
7.5,80,0,0,1
8,100,0,0,1
7.2,90,0,0,1
8,160,0,0,1
6.6,100,0,0,1
7.8,60,0,0,1
6.9,33,0,0,1
7,30,0,0,1
7.9,33,0,0,1
7,33,0,0,1
8.1,15,0,0,1
7.6,35,0,0,1
6.7,14,0,0,1
7.8,60,0,0,1
6.4,33,0,0,1
7.9,35,0,0,1
7,25,0,0,1
6.6,33,0,0,1
8,60,0,0,1
5.8,33,0,0,1
8.3,25,0,0,1
7.5,60,0,0,1
7.9,80,0,0,1
8.3,33,0,0,1
8.2,33,0,0,1
7.8,33,0,0,1
7.8,33,0,0,1
8.3,180,0,0,1
8.1,25,0,0,1
7.8,35,0,0,1
6.6,20,0,0,1
5.6,10,0,0,1
7,15,0,0,1
7.8,35,0,0,1
6,33,0,0,1
7,33,0,0,1
8.3,19,0,0,1
7.2,22,0,0,1
7,60,0,0,1
7.3,40,0,0,1
7.9,33,0,0,1
7.7,20,0,0,1
7.2,50,0,0,1
7.3,33,0,0,1
6.8,33,0,0,1
7.1,50,0,0,1
7.3,22,0,0,1
7,80,0,0,1
6.9,35,0,0,1
6,27,0,0,1
6.9,10,0,0,1
6.4,20,0,0,1
6.8,17,0,0,1
7.3,10,0,0,1
5.8,33,0,0,1
7.7,60,0,0,1
7,40,0,0,1
7,33,0,0,1
7.1,33,0,0,1
7.8,50,0,0,1
7.1,30,0,0,1
7,33,0,0,1
6,33,0,0,1
6.5,100,0,0,1
6.6,35,0,0,1
6.5,33,0,0,1
7.6,60,0,0,1
7.1,33,0,0,1
6,70,0,0,1
7.8,35,0,0,1
7.1,40,0,0,1
7,33,0,0,1
6.2,17,0,0,1
6.9,35,0,0,1
7.6,40,0,0,1
8.4,35,0,0,1
7.1,20,0,0,1
6.9,33,0,0,1
7.9,55,0,0,1
7.7,60,0,0,1
7.8,35,0,0,1
7.2,35,0,0,1
7,5,0,0,1
7.2,10,0,0,1
7,10,0,0,1
7.7,60,0,0,1
7.7,40,0,0,1
5.7,33,0,0,1
6,33,0,0,1
6.3,16,0,0,1
7.6,35,0,0,1
7.7,30,0,0,1
7.6,30,0,0,1
